,AAPL,MSFT,GOOG,META
2001-03-05,324172800.0,49383600.0,,
2001-03-06,731802400.0,66781800.0,,
2001-03-07,419540800.0,59743600.0,,
2001-03-08,204859200.0,54626000.0,,
2001-03-09,299135200.0,103794400.0,,
2001-03-12,391020000.0,114376000.0,,
2001-03-13,443329600.0,91035600.0,,
2001-03-14,477775200.0,90686200.0,,
2001-03-15,529317600.0,71638400.0,,
2001-03-16,470316000.0,112848800.0,,
2001-03-19,356008800.0,61036400.0,,
2001-03-20,499206400.0,91822800.0,,
2001-03-21,371375200.0,124988600.0,,
2001-03-22,723301600.0,126363200.0,,
2001-03-23,944888000.0,99519600.0,,
2001-03-26,734451200.0,63118600.0,,
2001-03-27,543821600.0,95135600.0,,
2001-03-28,584662400.0,78681600.0,,
2001-03-29,613065600.0,86985000.0,,
2001-03-30,400349600.0,91201600.0,,
2001-04-02,340911200.0,75924000.0,,
2001-04-03,368687200.0,94187600.0,,
2001-04-04,685484800.0,104046600.0,,
2001-04-05,446762400.0,113364000.0,,
2001-04-06,324889600.0,92622000.0,,
2001-04-09,266582400.0,56295600.0,,
2001-04-10,457374400.0,109199400.0,,
2001-04-11,334096000.0,109879600.0,,
2001-04-12,298933600.0,87520000.0,,
2001-04-13,298933600.0,87520000.0,,
2001-04-16,285224800.0,65857400.0,,
2001-04-17,685199200.0,85149200.0,,
2001-04-18,1100842400.0,156696400.0,,
2001-04-19,1873670400.0,159375600.0,,
2001-04-20,693403200.0,192919600.0,,
2001-04-23,541525600.0,92171200.0,,
2001-04-24,377137600.0,89176600.0,,
2001-04-25,330780800.0,76744000.0,,
2001-04-26,799696800.0,118737600.0,,
2001-04-27,453012000.0,121572400.0,,
2001-04-30,494776800.0,74368200.0,,
2001-05-01,427252000.0,83702800.0,,
2001-05-02,368524800.0,92864400.0,,
2001-05-03,301543200.0,66273400.0,,
2001-05-04,281052800.0,119538400.0,,
2001-05-07,276550400.0,109356200.0,,
2001-05-08,315436800.0,75084000.0,,
2001-05-09,324889600.0,76676600.0,,
2001-05-10,288976800.0,64334600.0,,
2001-05-11,203044800.0,51128800.0,,
2001-05-14,309220800.0,44968000.0,,
2001-05-15,237025600.0,61385600.0,,
2001-05-16,322330400.0,91893800.0,,
2001-05-17,332119200.0,106984800.0,,
2001-05-18,159051200.0,90605400.0,,
2001-05-21,460997600.0,103491600.0,,
2001-05-22,412916000.0,83455600.0,,
2001-05-23,281041600.0,93637400.0,,
2001-05-24,271756800.0,80781600.0,,
2001-05-25,158743200.0,52747600.0,,
2001-05-28,158743200.0,52747600.0,,
2001-05-29,515989600.0,71210800.0,,
2001-05-30,777078400.0,86501800.0,,
2001-05-31,442892800.0,70682600.0,,
2001-06-01,456075200.0,57587600.0,,
2001-06-04,281920800.0,43736600.0,,
2001-06-05,471794400.0,89454200.0,,
2001-06-06,223176800.0,80022800.0,,
2001-06-07,325180800.0,66960000.0,,
2001-06-08,342624800.0,51867000.0,,
2001-06-11,294000000.0,47345600.0,,
2001-06-12,303794400.0,66714600.0,,
2001-06-13,511487200.0,55302400.0,,
2001-06-14,297348800.0,71972400.0,,
2001-06-15,454624800.0,108354400.0,,
2001-06-18,345912000.0,56846800.0,,
2001-06-19,321087200.0,63457400.0,,
2001-06-20,431620000.0,64108400.0,,
2001-06-21,341331200.0,69603800.0,,
2001-06-22,286025600.0,51092000.0,,
2001-06-25,439549600.0,49215600.0,,
2001-06-26,272781600.0,63077000.0,,
2001-06-27,374130400.0,69199800.0,,
2001-06-28,348409600.0,128975600.0,,
2001-06-29,515390400.0,94283800.0,,
2001-07-02,230048000.0,72810200.0,,
2001-07-03,112543200.0,28037400.0,,
2001-07-04,112543200.0,28037400.0,,
2001-07-05,152292000.0,49242600.0,,
2001-07-06,302920800.0,67467800.0,,
2001-07-09,337467200.0,66476600.0,,
2001-07-10,395270400.0,66562600.0,,
2001-07-11,470506400.0,73822600.0,,
2001-07-12,614801600.0,128078000.0,,
2001-07-13,454742400.0,58934600.0,,
2001-07-16,278667200.0,55990800.0,,
2001-07-17,647830400.0,63241000.0,,
2001-07-18,1137012800.0,57590800.0,,
2001-07-19,861140000.0,76549400.0,,
2001-07-20,444584000.0,124203600.0,,
2001-07-23,241360000.0,79999400.0,,
2001-07-24,348376000.0,67530200.0,,
2001-07-25,443878400.0,74065400.0,,
2001-07-26,369140800.0,77974000.0,,
2001-07-27,334135200.0,65396000.0,,
2001-07-30,243359200.0,42196400.0,,
2001-07-31,235026400.0,59031600.0,,
2001-08-01,304136000.0,55679000.0,,
2001-08-02,252089600.0,54198400.0,,
2001-08-03,186054400.0,43260400.0,,
2001-08-06,99652000.0,27831600.0,,
2001-08-07,168548800.0,31347800.0,,
2001-08-08,276169600.0,54996400.0,,
2001-08-09,200664800.0,45536200.0,,
2001-08-10,186961600.0,51756400.0,,
2001-08-13,147996800.0,32675400.0,,
2001-08-14,228950400.0,36481200.0,,
2001-08-15,289279200.0,39503000.0,,
2001-08-16,288092000.0,43905600.0,,
2001-08-17,208426400.0,52234200.0,,
2001-08-20,252302400.0,48371200.0,,
2001-08-21,185701600.0,47111800.0,,
2001-08-22,173975200.0,78107200.0,,
2001-08-23,217078400.0,51813200.0,,
2001-08-24,290332000.0,63399000.0,,
2001-08-27,175644000.0,44562800.0,,
2001-08-28,171735200.0,47422800.0,,
2001-08-29,239971200.0,48170000.0,,
2001-08-30,368692800.0,97632000.0,,
2001-08-31,216904800.0,57900800.0,,
2001-09-03,216904800.0,57900800.0,,
2001-09-04,348213600.0,67189200.0,,
2001-09-05,360057600.0,89470600.0,,
2001-09-06,282368800.0,112356800.0,,
2001-09-07,241830400.0,89863800.0,,
2001-09-10,308845600.0,84471800.0,,
2001-09-11,308845600.0,84471800.0,,
2001-09-12,308845600.0,84471800.0,,
2001-09-13,308845600.0,84471800.0,,
2001-09-14,308845600.0,84471800.0,,
2001-09-17,458007200.0,127502000.0,,
2001-09-18,327101600.0,83182600.0,,
2001-09-19,373318400.0,126950200.0,,
2001-09-20,411174400.0,117983200.0,,
2001-09-21,570516800.0,184976600.0,,
2001-09-24,294537600.0,85580200.0,,
2001-09-25,374404800.0,84940600.0,,
2001-09-26,493796800.0,58524400.0,,
2001-09-27,322240800.0,81191200.0,,
2001-09-28,365108800.0,116641200.0,,
2001-10-01,208208000.0,69999600.0,,
2001-10-02,235883200.0,80860800.0,,
2001-10-03,683043200.0,97199200.0,,
2001-10-04,401122400.0,101778000.0,,
2001-10-05,342686400.0,80844400.0,,
2001-10-08,207984000.0,60605800.0,,
2001-10-09,174025600.0,99477600.0,,
2001-10-10,307759200.0,86349200.0,,
2001-10-11,334163200.0,83742600.0,,
2001-10-12,287812000.0,63307000.0,,
2001-10-15,318752000.0,68437000.0,,
2001-10-16,202949600.0,66169000.0,,
2001-10-17,285538400.0,73710600.0,,
2001-10-18,612572800.0,78348000.0,,
2001-10-19,166790400.0,91219600.0,,
2001-10-22,391938400.0,72323600.0,,
2001-10-23,684980800.0,80325000.0,,
2001-10-24,374427200.0,79141400.0,,
2001-10-25,254951200.0,75318200.0,,
2001-10-26,278964000.0,64509400.0,,
2001-10-29,239181600.0,55129400.0,,
2001-10-30,276763200.0,57395600.0,,
2001-10-31,273750400.0,64700000.0,,
2001-11-01,312995200.0,109671200.0,,
2001-11-02,197204000.0,83360000.0,,
2001-11-05,235793600.0,66401600.0,,
2001-11-06,316019200.0,68612000.0,,
2001-11-07,382989600.0,58899000.0,,
2001-11-08,342143200.0,74227800.0,,
2001-11-09,134293600.0,48013600.0,,
2001-11-12,201499200.0,57752800.0,,
2001-11-13,224672000.0,60159600.0,,
2001-11-14,221149600.0,88625600.0,,
2001-11-15,213029600.0,77922000.0,,
2001-11-16,230664000.0,59249000.0,,
2001-11-19,332589600.0,56005000.0,,
2001-11-20,276584000.0,65921800.0,,
2001-11-21,201583200.0,50785200.0,,
2001-11-22,201583200.0,50785200.0,,
2001-11-23,60004000.0,15754600.0,,
2001-11-26,460689600.0,41983600.0,,
2001-11-27,268553600.0,90819000.0,,
2001-11-28,250611200.0,54536600.0,,
2001-11-29,202764800.0,54034400.0,,
2001-11-30,303912000.0,48234200.0,,
2001-12-03,181165600.0,47211800.0,,
2001-12-04,380419200.0,51005800.0,,
2001-12-05,568579200.0,74243000.0,,
2001-12-06,338934400.0,56026200.0,,
2001-12-07,203515200.0,42334800.0,,
2001-12-10,170010400.0,38367400.0,,
2001-12-11,205475200.0,54334000.0,,
2001-12-12,192460800.0,47884200.0,,
2001-12-13,197842400.0,53227800.0,,
2001-12-14,189884800.0,43000600.0,,
2001-12-17,173712000.0,57079800.0,,
2001-12-18,235239200.0,47255200.0,,
2001-12-19,289956800.0,56996200.0,,
2001-12-20,220864000.0,78585000.0,,
2001-12-21,256334400.0,84307600.0,,
2001-12-24,50629600.0,11701600.0,,
2001-12-25,50629600.0,11701600.0,,
2001-12-26,146400800.0,29328000.0,,
2001-12-27,191508800.0,32406600.0,,
2001-12-28,299124000.0,28787200.0,,
2001-12-31,137782400.0,43006200.0,,
2002-01-01,137782400.0,43006200.0,,
2002-01-02,529496800.0,48124000.0,,
2002-01-03,612007200.0,67590800.0,,
2002-01-04,409976000.0,52731400.0,,
2002-01-07,444584000.0,58508800.0,,
2002-01-08,450038400.0,47736400.0,,
2002-01-09,327835200.0,76304000.0,,
2002-01-10,452737600.0,50296600.0,,
2002-01-11,348801600.0,72993200.0,,
2002-01-14,415996000.0,50997800.0,,
2002-01-15,290320800.0,60717400.0,,
2002-01-16,566893600.0,61955400.0,,
2002-01-17,660576000.0,78958000.0,,
2002-01-18,338811200.0,107140400.0,,
2002-01-21,338811200.0,107140400.0,,
2002-01-22,327314400.0,76837200.0,,
2002-01-23,443279200.0,80403000.0,,
2002-01-24,344002400.0,83886000.0,,
2002-01-25,185914400.0,48981200.0,,
2002-01-28,186446400.0,41622000.0,,
2002-01-29,240324000.0,58666000.0,,
2002-01-30,471576000.0,66100000.0,,
2002-01-31,468445600.0,69566200.0,,
2002-02-01,398305600.0,63462200.0,,
2002-02-04,522373600.0,70308400.0,,
2002-02-05,456887200.0,66772600.0,,
2002-02-06,597576000.0,66103000.0,,
2002-02-07,347832800.0,63314000.0,,
2002-02-08,355331200.0,61283000.0,,
2002-02-11,398602400.0,50899600.0,,
2002-02-12,224280000.0,44973800.0,,
2002-02-13,312872000.0,54168600.0,,
2002-02-14,260170400.0,57267000.0,,
2002-02-15,260187200.0,50179800.0,,
2002-02-18,260187200.0,50179800.0,,
2002-02-19,390258400.0,52262600.0,,
2002-02-20,285443200.0,50492000.0,,
2002-02-21,446751200.0,59398400.0,,
2002-02-22,406476000.0,71347800.0,,
2002-02-25,426848800.0,51832200.0,,
2002-02-26,260131200.0,63276200.0,,
2002-02-27,1030159200.0,65750000.0,,
2002-02-28,456937600.0,68068000.0,,
2002-03-01,348992000.0,62115600.0,,
2002-03-04,348258400.0,74464200.0,,
2002-03-05,274702400.0,55926400.0,,
2002-03-06,226206400.0,49835400.0,,
2002-03-07,258249600.0,58079200.0,,
2002-03-08,269774400.0,57701800.0,,
2002-03-11,262785600.0,43718200.0,,
2002-03-12,254055200.0,66407200.0,,
2002-03-13,200765600.0,44387400.0,,
2002-03-14,217296800.0,51819600.0,,
2002-03-15,240900800.0,69086800.0,,
2002-03-18,304556000.0,52296800.0,,
2002-03-19,242345600.0,36376400.0,,
2002-03-20,294319200.0,55235200.0,,
2002-03-21,616352800.0,46123400.0,,
2002-03-22,202193600.0,41341400.0,,
2002-03-25,262830400.0,47752400.0,,
2002-03-26,257840800.0,69357200.0,,
2002-03-27,127702400.0,47318400.0,,
2002-03-28,108455200.0,43901200.0,,
2002-03-29,108455200.0,43901200.0,,
2002-04-01,199046400.0,47010000.0,,
2002-04-02,203795200.0,76509400.0,,
2002-04-03,214530400.0,76931400.0,,
2002-04-04,338497600.0,61763800.0,,
2002-04-05,278348000.0,50166000.0,,
2002-04-08,261514400.0,73389600.0,,
2002-04-09,191531200.0,63413000.0,,
2002-04-10,224980000.0,75636400.0,,
2002-04-11,407254400.0,58165800.0,,
2002-04-12,320241600.0,52297600.0,,
2002-04-15,299370400.0,47388800.0,,
2002-04-16,614577600.0,51921600.0,,
2002-04-17,396250400.0,55158600.0,,
2002-04-18,401710400.0,74794800.0,,
2002-04-19,375407200.0,104268600.0,,
2002-04-22,269427200.0,51465200.0,,
2002-04-23,233469600.0,68281400.0,,
2002-04-24,140448000.0,61220400.0,,
2002-04-25,194202400.0,57290400.0,,
2002-04-26,304981600.0,62776600.0,,
2002-04-29,272288800.0,70246000.0,,
2002-04-30,280963200.0,77384000.0,,
2002-05-01,214704000.0,76413000.0,,
2002-05-02,239344000.0,79009200.0,,
2002-05-03,230781600.0,71628000.0,,
2002-05-06,249664800.0,66299400.0,,
2002-05-07,242748800.0,88385400.0,,
2002-05-08,436682400.0,101242000.0,,
2002-05-09,224616000.0,83288200.0,,
2002-05-10,235396000.0,64408800.0,,
2002-05-13,265608000.0,64819000.0,,
2002-05-14,526506400.0,64832400.0,,
2002-05-15,335826400.0,70412000.0,,
2002-05-16,227052000.0,53406400.0,,
2002-05-17,236493600.0,54646200.0,,
2002-05-20,269914400.0,52115800.0,,
2002-05-21,280991200.0,63120000.0,,
2002-05-22,290875200.0,54169400.0,,
2002-05-23,369398400.0,51412800.0,,
2002-05-24,166174400.0,35982000.0,,
2002-05-27,166174400.0,35982000.0,,
2002-05-28,149716000.0,49602000.0,,
2002-05-29,221793600.0,45393200.0,,
2002-05-30,196375200.0,63213000.0,,
2002-05-31,365495200.0,66468000.0,,
2002-06-03,235110400.0,88439000.0,,
2002-06-04,347821600.0,88008400.0,,
2002-06-05,277082400.0,66969400.0,,
2002-06-06,259996800.0,78703400.0,,
2002-06-07,612376800.0,97834400.0,,
2002-06-10,277575200.0,71825400.0,,
2002-06-11,349496000.0,74368200.0,,
2002-06-12,528718400.0,136198600.0,,
2002-06-13,352083200.0,79771600.0,,
2002-06-14,424900000.0,109433600.0,,
2002-06-17,324609600.0,94486600.0,,
2002-06-18,353360000.0,77518400.0,,
2002-06-19,1709467200.0,81247000.0,,
2002-06-20,396636800.0,86401200.0,,
2002-06-21,445177600.0,116820000.0,,
2002-06-24,431933600.0,104523200.0,,
2002-06-25,301201600.0,84025200.0,,
2002-06-26,558952800.0,112131400.0,,
2002-06-27,251658400.0,95812400.0,,
2002-06-28,269858400.0,89555600.0,,
2002-07-01,222689600.0,66473800.0,,
2002-07-02,305188800.0,82814200.0,,
2002-07-03,199029600.0,80936600.0,,
2002-07-04,199029600.0,80936600.0,,
2002-07-05,161649600.0,35673600.0,,
2002-07-08,211204000.0,63199400.0,,
2002-07-09,226749600.0,85277200.0,,
2002-07-10,206880800.0,90673400.0,,
2002-07-11,373676800.0,129550600.0,,
2002-07-12,443492000.0,95733800.0,,
2002-07-15,295993600.0,136965600.0,,
2002-07-16,446768000.0,97154600.0,,
